3m_buy,3m_overweight,3m_hold,3m_underweight,3m_sell,1m_buy,1m_overweight,1m_hold,1m_underweight,1m_sell,curr_buy,curr_overweight,curr_hold,curr_underweight,curr_sell
10,2,6,1,1,N/A,N/A,N/A,N/A,N/A,10,1,9,1,1
18,0,7,0,0,17,0,6,0,0,17,0,7,0,0
14,0,4,0,0,N/A,N/A,N/A,N/A,N/A,15,0,5,0,0
16,2,9,1,0,18,2,7,0,1,18,2,7,0,1
N/A,N/A,N/A,N/A,N/A,19,2,3,0,0,17,3,4,0,0
17,2,1,0,1,19,2,0,0,1,19,2,0,1,0
6,0,10,0,1,6,1,7,1,1,6,1,9,0,1
13,2,4,1,0,12,2,5,1,0,13,2,5,1,0
4,0,13,0,1,5,1,11,0,1,5,0,13,0,1
N/A,N/A,N/A,N/A,N/A,6,1,8,1,1,6,1,7,2,1
22,1,2,0,0,23,3,0,0,0,23,3,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,1,11,0,0,17,1,9,0,0,16,1,9,0,0
15,0,2,0,0,15,2,2,0,0,14,2,2,0,0
N/A,N/A,N/A,N/A,N/A,11,1,4,0,1,12,1,3,0,1
5,0,10,0,2,N/A,N/A,N/A,N/A,N/A,7,0,10,0,2
16,0,11,1,1,17,1,9,1,0,17,1,10,1,0
15,2,4,0,1,13,2,3,0,1,14,2,4,0,1
N/A,N/A,N/A,N/A,N/A,11,1,10,1,1,12,1,10,1,1
10,0,7,2,3,9,0,9,2,3,7,0,10,2,3
8,2,2,0,0,9,2,2,0,0,8,2,1,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,0,8,0,2
11,2,4,1,3,11,2,4,1,2,11,2,5,1,2
16,1,1,1,1,17,1,0,0,1,16,1,0,0,1
7,0,17,0,0,8,0,15,1,0,7,0,15,0,0
17,1,1,1,1,18,1,0,0,1,17,1,0,0,1
10,1,7,0,0,9,1,8,0,0,8,1,8,0,0
1,0,5,0,1,1,0,3,0,4,2,0,2,0,4
6,0,15,1,2,6,0,16,0,1,7,0,15,0,1
14,1,9,0,0,15,1,7,0,0,15,1,7,0,1
12,0,6,1,0,12,0,6,1,0,13,0,7,1,0
N/A,N/A,N/A,N/A,N/A,7,1,11,0,2,5,1,13,0,2
10,0,7,1,0,N/A,N/A,N/A,N/A,N/A,8,2,9,1,0
5,0,9,0,0,N/A,N/A,N/A,N/A,N/A,5,0,13,0,0
18,1,5,0,0,17,3,6,0,0,17,3,5,0,1
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,0,2,0,0
N/A,N/A,N/A,N/A,N/A,16,0,8,0,2,18,0,8,0,2
N/A,N/A,N/A,N/A,N/A,14,2,6,0,0,14,2,5,1,0
8,2,14,0,3,9,1,13,1,4,10,1,12,1,4
9,0,2,0,1,9,1,3,0,1,11,2,4,0,1
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0
19,1,7,1,0,20,1,6,1,0,20,1,7,0,0
8,0,10,1,0,9,0,10,1,0,9,0,11,0,0
10,3,4,1,3,10,3,5,1,1,9,2,6,1,1
N/A,N/A,N/A,N/A,N/A,20,4,1,0,1,23,3,1,0,1
15,2,6,0,0,14,2,6,0,0,14,2,5,0,0
15,0,6,1,0,16,2,4,0,0,16,1,4,1,0
N/A,N/A,N/A,N/A,N/A,14,2,3,0,0,12,2,3,0,0
6,0,7,1,1,5,0,11,0,2,4,0,11,0,2
14,1,4,1,0,17,1,3,1,0,17,1,3,1,0
N/A,N/A,N/A,N/A,N/A,16,2,10,1,1,15,2,11,0,1
10,0,5,0,0,9,0,5,0,0,7,0,7,0,0
17,2,7,0,0,19,2,5,1,0,19,2,4,1,0
6,4,7,0,6,5,4,9,1,6,6,3,10,2,5
8,0,8,1,1,10,2,7,0,1,10,2,7,1,0
15,1,2,0,0,15,1,2,0,0,15,1,1,0,1
13,2,0,0,0,9,2,0,0,0,12,2,0,0,1
14,1,9,2,2,N/A,N/A,N/A,N/A,N/A,11,1,9,2,2
1,1,2,0,0,2,0,1,1,0,2,0,0,1,0
N/A,N/A,N/A,N/A,N/A,0,0,19,1,2,1,1,16,1,2
N/A,N/A,N/A,N/A,N/A,20,3,10,0,0,18,5,11,0,0
12,1,7,1,3,13,1,7,0,3,12,1,7,0,3
